responsavel_nome;partido;bloco_bancada;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;numero_inciso;status_indicacao_descricao;descricao_municipio;nome_convenente_beneficiado;numero_cnpj_convenente;codigo_escola;numero_da_acao;nome_da_acao;nome_grupo_de_despesa;descricao_genero;descricao_categoria;descricao_especificacao;descricao_indicacao;descricao_tipo_aplicacao;valor_indicado;justificativa_cancelamento_reprovacao;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;numero_instrumento_juridico_convenio;numero_siafi;numero_resolucao_transferencia_especial;unidade_executora_codigo;funcional_programatica_formatado;categoria_economica_despesa_codigo;item_despesa_codigo;gmifp_formatado;numero_empenho;obs;funcao
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89278;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;JOSE GONCALVES DE MINAS;MUNICIPIO DE JOSE GONCALVES DE MINAS;01.613.372/0001-56;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Caminhão com implemento (baú, caçamba, pipa, carroceria, basculante, compactador, etc);Aquisição de caminhão coletor de lixo.;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;1491000744/2022;9327545,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;857;;4
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89279;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;PAULA CANDIDO;MUNICIPIO DE PAULA CANDIDO;17.763.715/0001-07;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Caminhão com implemento (baú, caçamba, pipa, carroceria, basculante, compactador, etc);Aquisição de caminhão coletor de lixo.;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;1491000784/2022;9331771,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;861;;4
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89280;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;PEDRA DOURADA;MUNICIPIO DE PEDRA DOURADA;18.114.215/0001-07;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Caminhão com implemento (baú, caçamba, pipa, carroceria, basculante, compactador, etc);Aquisição de caminhão basculante.;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;1491001121/2022;9337279,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;5232;;4
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89281;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;RAUL SOARES;MUNICIPIO DE RAUL SOARES;18.836.965/0001-84;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Pá Carregadeira;Aquisição de Pá Carregadeira.;;600000,0;;600000,0;600000,0;600000,0;600000,0;0,0;;;0,0;1491000742/2022;9327543,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;858;;4
ANDREIA DE JESUS;PSOL;BLOCO DEMOCRACIA E LUTA;2321;FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;HEMOMINAS;89282;EXECUÇÃO DIRETA;284;APROVADO;BELO HORIZONTE;HEMOMINAS - SEDE;26.388.330/0001-90;;4341;ADEQUAÇÃO DE INFRAESTRUTURA;INVESTIMENTOS;;;;Aquisição de bens permanentes;Bem Permanente;500000,0;;222000,0;222000,0;222000,0;0,0;222000,0;222000,0;0,0;0,0;;;;2320002,0;10.302.123.4341.0001;4,0;9,0;4.90.0.10.8;Consultar Controle de Execução;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89283;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;SANTA CRUZ DE SALINAS;PREFEITURA MUNICIPAL DE SANTA CRUZ DE SALINAS;01.612.497/0001-61;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Caminhão com implemento (baú, caçamba, pipa, carroceria, basculante, compactador, etc);Aquisição de caminhão basculante.;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;1491000743/2022;9327544,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;856;;4
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89284;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;VISCONDE DO RIO BRANCO;PREFEITURA MUNICIPAL DE VISCONDE DO RIO BRANCO;18.137.927/0001-33;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Caminhão com implemento (baú, caçamba, pipa, carroceria, basculante, compactador, etc);Aquisição de caminhão coletor de lixo.;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;1491000847/2022;9336917,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;2750;;4
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89285;RESOLUÇÃO SES;3422;REPROVADO PELO ÓRGÃO;BERILO;FUNDO MUNICIPAL DE SAUDE/BERILO PREFEITURA;11.461.867/0001-60;;4453;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - HOSPITAIS PLATAFORMA;INVESTIMENTOS;;;;Aquisição de equipamentos hospitalares.;FES Bem permanente;160000,0;"Conforme parecer emitido pela área finalística afeta a ação orçamentária 4453, o município de Berilo não possui instituição hospitalar municipal que atende aos critérios de elegibilidade ao módulo Plataforma da Política de Atenção Hospitalar Valora Minas.    Esclarecemos que antes da realização das oficinas de implantação da Política de Atenção Hospitalar Valora Minas, no município havia  uma instituição pública categorizada como ""potencial beneficiário do módulo Hospitais Plataforma"". Porém, após a realização de oficinas, a entidade publica existente no município, não se enquadrou nos critérios de elegibilidade da Política de Atenção Hospitalar Valora Minas.";0,0;0,0;0,0;0,0;0,0;;;0,0;;;;;;;;;;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89286;RESOLUÇÃO SES;3421;APROVADO;COUTO DE MAGALHAES DE MINAS;FUNDO MUNICIPAL DE SAUDE;11.966.986/0001-75;;4452;REGULAÇÃO DO ACESSO;INVESTIMENTOS;;;;Aquisição de Ambulância Tipo A Simples Remoção Furgão.;FES Ambulância Tipo A Simples Remoção Furgão;249321,0;;249321,0;249321,0;249321,0;249321,0;0,0;;;0,0;;9333161,0;8097;1320077,0;10.302.158.4452.0001;4,0;1,0;4.41.0.10.8;4424;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89287;RESOLUÇÃO SES;3421;APROVADO;TURMALINA;FUNDO MUNICIPAL DE SAUDE;11.288.532/0001-92;;4452;REGULAÇÃO DO ACESSO;INVESTIMENTOS;;;;Aquisição de veículo transporte sanitário acessibilidade.;FES Veículo Transporte Sanitário Acessibilidade;285654,0;;285654,0;285654,0;285654,0;285654,0;0,0;;;0,0;;9333286,0;8097;1320077,0;1030215844520000;4,0;1,0;4.41.0.10.8;4588;SIAFI COM DOIS OU MAIS EMPENHOS;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SEINFRA;89295;CELEBRAÇÃO DE CONVÊNIO;82;APROVADO;GUARACIAMA;PREFEITURA MUNICIPAL DE GUARACIAMA;01.612.549/0001-08;;4154;FOMENTO À INFRAESTRUTURA PÚBLICA MUNICIPAL;INVESTIMENTOS;REFORMA OU OBRA;Calçamento;Via Urbana ;Calçamento em bloquete via urbana;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;1301000675/2022;9327180,0;;1300002,0;15.451.071.4154.0001;4,0;1,0;4.40.0.10.8;119;;15
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SEINFRA;89296;CELEBRAÇÃO DE CONVÊNIO;82;APROVADO;ARAPONGA;MUNICIPIO DE ARAPONGA;18.132.167/0001-71;;4154;FOMENTO À INFRAESTRUTURA PÚBLICA MUNICIPAL;INVESTIMENTOS;REFORMA OU OBRA;Construção;;Pagamento da 2ª parcela do convênio nº.1301001286/2017 ;;74062,06;;74062,06;74062,06;74062,06;74062,06;0,0;;;0,0;1301001286/2017;9175880,0;;1300002,0;15.451.071.4154.0001;4,0;1,0;4.40.0.10.8;1031;;15
