responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho_execucao_direta;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
DOUTOR JEAN FREIRE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119449;CELEBRAÇÃO DE CONVÊNIO;APROVADO;190;14667;;Não;;;;;88623,86;88623,86;88623,86;88623,86;88623,86;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119451;TRANSFERÊNCIA ESPECIAL;APROVADO;1699;16650;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119452;TRANSFERÊNCIA ESPECIAL;APROVADO;1693;16651;;Não;;;;;40000,0;40000,0;40000,0;40000,0;40000,0;;;
MARQUINHO LEMOS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119453;TRANSFERÊNCIA ESPECIAL;APROVADO;2219;16652;;Não;;;;;10022,0;10022,0;10022,0;10022,0;10022,0;;;
ANTONIO CARLOS ARANTES;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119455;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2210;13892;;Não;;;;;90000,0;87167,19;87167,19;87167,19;0,0;;Ausência de conta bancária cadastrada do beneficiário no portal Sigcon;"não efetivação dos requisitos legais, regulamentares e técnicos ou condições suspensivas necessários ao pagamento ou à conclusão da execução da emenda dentro do exercício financeiro da respectiva Lei Orçamentária Anual;"
DOUTOR JEAN FREIRE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;119456;CELEBRAÇÃO DE CONVÊNIO;APROVADO;2202;14563;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
DOUTOR JEAN FREIRE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119457;RESOLUÇÃO SES;APROVADO;2198;5761;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119458;TRANSFERÊNCIA ESPECIAL;APROVADO;1699;16653;;Não;;;;;10000,0;10000,0;10000,0;10000,0;10000,0;;;
DOUTOR JEAN FREIRE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119459;RESOLUÇÃO SES;APROVADO;2188;5953;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119460;TRANSFERÊNCIA ESPECIAL;APROVADO;1699;16654;;Não;;;;;50000,0;50000,0;50000,0;50000,0;50000,0;;;
