responsavel_nome;partido;bloco_bancada;uo_descricao;numero_indicacao;tipo_de_indicacao;valor_indicado;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;categoria_iot;justificativa
JOAO MAGALHAES;MDB;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;163430;EXECUÇÃO DIRETA;101629,92;100900,94;100900,94;91021,43;91021,43;9879,51000000001;0,0;9879,51000000001;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
JOAO MAGALHAES;MDB;BLOCO AVANCA MINAS;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;163808;EXECUÇÃO DIRETA;250000,0;246999,09;246999,09;0,0;0,0;246999,09;0,0;246999,09;0,0;outras razões de ordem técnica devidamente justificadas;Controle de execução em andamento
JOAO MAGALHAES;MDB;BLOCO AVANCA MINAS;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;163836;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;200000,0;199984,4;199984,4;158950,0;158950,0;41034,399999999994;0,0;41034,399999999994;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
JOAO VITOR XAVIER;CIDADANIA;BLOCO AVANCA MINAS;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;161997;EXECUÇÃO DIRETA;450000,0;449974,7;449974,7;0,0;0,0;449974,7;0,0;449974,7;0,0;outras razões de ordem técnica devidamente justificadas;Controle de execução em andamento
JOAO VITOR XAVIER;CIDADANIA;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;162821;EXECUÇÃO DIRETA;238600,0;236500,0;236500,0;0,0;0,0;236500,0;0,0;236500,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Economicidade.
JOAO VITOR XAVIER;CIDADANIA;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;163087;EXECUÇÃO DIRETA;80200,0;76300,0;76300,0;0,0;0,0;76300,0;0,0;76300,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Economicidade.
JOAO VITOR XAVIER;CIDADANIA;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;163089;EXECUÇÃO DIRETA;23000,0;15909,0;15909,0;9049,0;9049,0;6860,0;0,0;6860,0;0,0;outras razões de ordem técnica devidamente justificadas;Execução da emenda em andamento.
JOAO VITOR XAVIER;CIDADANIA;BLOCO AVANCA MINAS;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;167165;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;31542,28;31542,28;0,0;0,0;31542,28;0,0;31542,28;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Melhor aquisição pelo Estado. Kit foi entregue e aguardamos o pagamento para a empresa.
JOAO VITOR XAVIER;CIDADANIA;BLOCO AVANCA MINAS;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;167166;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;31542,28;31542,28;0,0;0,0;31542,28;0,0;31542,28;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Melhor aquisição pelo Estado. Kit foi entregue e aguardamos o pagamento para a empresa.
JOAO VITOR XAVIER;CIDADANIA;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;164456;EXECUÇÃO DIRETA;40000,0;37359,06;37359,06;0,0;0,0;37359,06;0,0;37359,06;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Desconto na procedimento administrativo licitatório, modalidade  pregão eletrônico nº 151/2025
