responsavel_nome;partido;bloco_bancada;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;numero_inciso;status_indicacao_descricao;descricao_municipio;nome_convenente_beneficiado;numero_cnpj_convenente;codigo_escola;numero_da_acao;nome_da_acao;nome_grupo_de_despesa;descricao_genero;descricao_categoria;descricao_especificacao;descricao_indicacao;descricao_tipo_aplicacao;valor_indicado;justificativa_cancelamento_reprovacao;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;numero_instrumento_juridico_convenio;numero_siafi;numero_resolucao_transferencia_especial;funcional_programatica_formatado;categoria_economica_despesa_codigo;numero_empenho
CHARLES SANTOS;REPUBLICANOS;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113646;RESOLUÇÃO SES;452;APROVADO;MARILAC;FUNDO MUNICIPAL DE SAUDE DE MARILAC;14.792.453/0001-02;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Esta indicação é complementar à indicação Nº 113645 sendo ambas do mesmo ação e grupo de despesa.;FES Custeio;86155,0;;86155,0;86155,0;86155,0;86155,0;0,0;0,0;0,0;0,0;;9386965,0;8685;10.301.159.4460.0001;3;4762
CHARLES SANTOS;REPUBLICANOS;BLOCO MINAS SÃO MUITAS;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;113647;CELEBRAÇÃO DE CONVÊNIO;17;APROVADO;VIEIRAS;ASSOCIACAO COMUNITARIA DO BEM-ESTAR DOS MORADORES DE VIEIRAS;13.978.230/0001-71;;4448;MECANIZAÇÃO NO CAMPO;INVESTIMENTOS;AQUISIÇÃO DE BENS;4;Maquinário e/ou Implemento Agropecuário;Aquisição de Patrulha Agrícola Mecanizada (Retroescavadeira) a ser utilizada pela Associação Comunitária do Bem-Estar dos Moradores de Vieiras - ACOMOV, em favor das famílias por esta OSC assistidas, na realização da manutenção dos tanques existentes e perfuração de novos tanques para piscicultura;;450000,0;;450000,0;450000,0;450000,0;450000,0;0,0;0,0;0,0;0,0;1231000135/2023;9386068,0;;20.608.127.4448.0001;4;132
JOAO MAGALHAES;MDB;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113651;RESOLUÇÃO SES;403;APROVADO;SIMONESIA;FUNDO MUNICIPAL DE SAÚDE DE SIMONÉSIA;11.776.849/0001-78;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Aquisição de Custeio;FES Custeio;1500000,0;;1500000,0;1500000,0;1500000,0;1500000,0;0,0;0,0;0,0;0,0;;9387518,0;8685;10.301.159.4460.0001;3;4717
JOAO MAGALHAES;MDB;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113652;RESOLUÇÃO SES;403;APROVADO;GOUVEIA;FUNDO MUNICIPAL DE SAÚDE DE GOUVEIA;11.389.903/0001-22;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Aquisição de Custeio;FES Custeio;1500000,0;;1500000,0;1500000,0;1500000,0;1500000,0;0,0;0,0;0,0;0,0;;9387286,0;8685;10.301.159.4460.0001;3;4331
NEILANDO PIMENTA;PSB;BLOCO DEMOCRACIA E LUTA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113653;CELEBRAÇÃO DE CONVÊNIO;247;APROVADO;TEOFILO OTONI;INSTITUTO DE ENSINO, PESQUISA E POLÍTICAS PÚBLICAS;06.082.726/0001-05;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;4;Veículo Utilitário;Veiculo Pick-up de acordo com a resolução SEGOV;;117492,0;;117492,0;117492,0;117492,0;117492,0;0,0;0,0;0,0;0,0;1491000430/2023;9389224,0;;04.122.024.2007.0001;4;29
NEILANDO PIMENTA;PSB;BLOCO DEMOCRACIA E LUTA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113654;CELEBRAÇÃO DE CONVÊNIO;247;APROVADO;TEOFILO OTONI;ASSOCIAÇÃO BENEFICENTE DORCAS;02.056.236/0001-75;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;4;Veículo Passeio (5 lugares);Veiculo 5 lugares de acordo com a resolução SEGOV;;88623,86;;88623,86;88623,86;88623,86;88623,86;0,0;0,0;0,0;0,0;1491000498/2023;9389363,0;;04.122.024.2007.0001;4;45
ALENCAR DA SILVEIRA JR.;PDT;BLOCO MINAS SÃO MUITAS;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;113656;EXECUÇÃO DIRETA;325;APROVADO;BELO HORIZONTE;Delegacia Especializada em Crimes de Trânsito;18.715.532/0001-70;;1004;MODERNIZAÇÃO DA POLÍCIA JUDICIÁRIA;INVESTIMENTOS;;4;;AQUISIÇÃO DE EQUIPAMENTO DE INFORMÁTICA;PCMG Kit equipamentos de informática;52200,0;;34971,06;34971,06;7073,84;7073,84;27897,22;0,0;27897,219999999998;0,0;;;;06.181.005.1004.0001;4;Consultar Controle de Execução
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113657;TRANSFERÊNCIA ESPECIAL;985;APROVADO;URUANA DE MINAS;MUNICIPIO DE URUANA DE MINAS;01.609.942/0001-34;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;100000,0;;100000,0;100000,0;100000,0;100000,0;0,0;0,0;0,0;0,0;;9383709,0;0012/2023;04.122.024.2090.0001;4;964
OSVALDO LOPES;PSD;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113658;TRANSFERÊNCIA ESPECIAL;986;APROVADO;MARILAC;MUNICIPIO DE MARILAC;18.409.193/0001-02;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;17734,0;;17734,0;17734,0;17734,0;17734,0;0,0;0,0;0,0;0,0;;9383962,0;0012/2023;04.122.024.2090.0001;4;1662
OSVALDO LOPES;PSD;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113659;TRANSFERÊNCIA ESPECIAL;987;APROVADO;MARILAC;MUNICIPIO DE MARILAC;18.409.193/0001-02;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;72071,0;;72071,0;72071,0;72071,0;72071,0;0,0;0,0;0,0;0,0;;9383707,0;0012/2023;04.122.024.2090.0001;4;1665
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113661;RESOLUÇÃO SES;426;APROVADO;BRASILANDIA DE MINAS;FUNDO MUNICIPAL DE SAÚDE DE BRASILÂNDIA DE MINAS;11.993.669/0001-48;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9387391,0;8685;10.301.159.4460.0001;3;4885
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113662;RESOLUÇÃO SES;426;APROVADO;CACHOEIRA DE PAJEU;FUNDO MUNICIPAL DE SAÚDE DE CACHOEIRA DE PAJEÚ;12.795.145/0001-05;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9387443,0;8685;10.301.159.4460.0001;3;4967
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113663;RESOLUÇÃO SES;426;APROVADO;CLARO DOS POCOES;FUNDO MUNICIPAL DE SAÚDE DE CLARO DOS POÇÕES;12.846.844/0001-37;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;200000,0;;200000,0;200000,0;200000,0;200000,0;0,0;0,0;0,0;0,0;;9387208,0;8685;10.301.159.4460.0001;3;4432
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113664;RESOLUÇÃO SES;426;APROVADO;LASSANCE;FUNDO MUNICIPAL DE SAÚDE DE LASSANCE;11.338.725/0001-00;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9386933,0;8685;10.301.159.4460.0001;3;4348
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113665;RESOLUÇÃO SES;988;APROVADO;MONTES CLAROS;FUNDAÇÃO DE SAÚDE DÍLSON DE QUADROS GODINHO;00.991.591/0001-06;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;1000000,0;;1000000,0;1000000,0;1000000,0;1000000,0;0,0;0,0;0,0;0,0;;9388765,0;8787;10.302.157.4457.0001;3;2848
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113666;RESOLUÇÃO SES;882;REPROVADO PELO ÓRGÃO;SAO JOAO DO PARAISO;FUNDAÇÃO DE SAÚDE DE SÃO JOÃO DO PARAÍSO;18.636.209/0001-01;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;300000,0;"Conforme parecer emitido pela ¿rea t¿cnica afeta a a¿¿o or¿amentaria 4457, a Funda¿¿o de Sa¿de de S¿o Jo¿o do Para¿so (CNPJ 18.636.209/0001.01), do munic¿pio de S¿o Jo¿o do Para¿so, uma vez que a mesma n¿o est¿ contemplada na Pol¿tica de Aten¿¿o Hospitalar do Estado de Minas Gerais -  m¿dulo Valor em Sa¿de.  Sugerimos consultar no Portal Emendas em ""Orienta¿¿es SES"" (link: https://www.emendas.mg.gov.br/2022/11/10/orientacoes-ses-2023/ ) para verificar se a entidade acima mencionada ¿ poss¿vel benefici¿ria da a¿¿o 4453.";0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;10.302.157.4457.0001;3;
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113667;RESOLUÇÃO SES;989;APROVADO;SETE LAGOAS;IRMANDADE DE NOSSA SENHORA DAS GRAÇAS;24.993.560/0001-52;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;717453,0;;717453,0;717453,0;717453,0;717453,0;0,0;0,0;0,0;0,0;;9388778,0;8787;10.302.157.4457.0001;3;2861
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113669;TRANSFERÊNCIA ESPECIAL;645;APROVADO;RIACHINHO;PREFEITURA MUNICIPAL DE RIACHINHO;25.222.118/0001-95;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;150000,0;;150000,0;150000,0;150000,0;150000,0;0,0;0,0;0,0;0,0;;9384727,0;0012/2023;04.122.024.2090.0001;4;953
JOAO MAGALHAES;MDB;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113670;RESOLUÇÃO SES;992;APROVADO;MANHUACU;HOSPITAL CESAR LEITE;22.263.081/0001-55;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;1000000,0;;1000000,0;1000000,0;1000000,0;1000000,0;0,0;0,0;0,0;0,0;;9388433,0;8771;10.302.157.4457.0001;3;2614
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113671;RESOLUÇÃO SES;994;APROVADO;MURIAE;CASA DE CARIDADE DE MURIAÉ HOSPITAL SÃO PAULO;22.780.498/0001-95;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;1500000,0;;1500000,0;1500000,0;1500000,0;1500000,0;0,0;0,0;0,0;0,0;;9388406,0;8771;10.302.157.4457.0001;3;2674
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113672;RESOLUÇÃO SES;993;APROVADO;MIRADOURO;FUNDO MUNICIPAL DE SAÚDE DE MIRADOURO;11.330.471/0001-84;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Indicação será complementada.;FES Custeio;91734,0;;91734,0;91734,0;91734,0;91734,0;0,0;0,0;0,0;0,0;;9387020,0;8685;10.301.159.4460.0001;3;5019
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113673;RESOLUÇÃO SES;993;APROVADO;JACUTINGA;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE JACUTINGA;11.984.501/0001-76;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;200000,0;;200000,0;200000,0;200000,0;200000,0;0,0;0,0;0,0;0,0;;9387413,0;8685;10.301.159.4460.0001;3;4941
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113674;RESOLUÇÃO SES;995;APROVADO;MIRADOURO;FUNDO MUNICIPAL DE SAÚDE DE MIRADOURO;11.330.471/0001-84;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Indicação complementar a indicação 113672.;FES Custeio;82089,0;;82089,0;82089,0;82089,0;82089,0;0,0;0,0;0,0;0,0;;9387021,0;8685;10.301.159.4460.0001;3;5020
DELEGADO HELI GRILO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113676;RESOLUÇÃO SES;881;APROVADO;URUCUIA;FUNDO MUNICIPAL DE SAÚDE DE URUCUIA;11.472.045/0001-85;;4453;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - HOSPITAIS PLATAFORMA;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;220000,0;;220000,0;220000,0;220000,0;220000,0;0,0;0,0;0,0;0,0;;9388949,0;8774;10.302.157.4453.0001;3;2952
ARNALDO SILVA;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113679;RESOLUÇÃO SES;990;APROVADO;CENTRALINA;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CENTRALINA-MG;23.094.329/0001-64;;4451;APOIO E FORTALECIMENTO DA REDE DE CUIDADO À PESSOA COM DEFICIÊNCIA;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9388793,0;8786;10.242.158.4451.0001;3;2830
ARNALDO SILVA;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113680;RESOLUÇÃO SES;990;APROVADO;ITURAMA;APAE- ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITURAMA;23.368.145/0001-45;;4451;APOIO E FORTALECIMENTO DA REDE DE CUIDADO À PESSOA COM DEFICIÊNCIA;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9388798,0;8786;10.242.158.4451.0001;3;2834
ARNALDO SILVA;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113681;RESOLUÇÃO SES;990;APROVADO;PRATA;APAE DE PRATA;18.475.731/0001-59;;4451;APOIO E FORTALECIMENTO DA REDE DE CUIDADO À PESSOA COM DEFICIÊNCIA;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9388117,0;8728;10.242.158.4451.0001;3;2198
ARNALDO SILVA;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113682;RESOLUÇÃO SES;990;APROVADO;SACRAMENTO;APAE DE  SACRAMENTO;17.807.751/0001-17;;4451;APOIO E FORTALECIMENTO DA REDE DE CUIDADO À PESSOA COM DEFICIÊNCIA;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9388120,0;8728;10.242.158.4451.0001;3;2216
ARNALDO SILVA;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113683;RESOLUÇÃO SES;990;APROVADO;SANTA VITORIA;APAE DE SANTA VITORIA;23.096.506/0001-41;;4451;APOIO E FORTALECIMENTO DA REDE DE CUIDADO À PESSOA COM DEFICIÊNCIA;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9388121,0;8728;10.242.158.4451.0001;3;2217
ARNALDO SILVA;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;113684;RESOLUÇÃO SES;990;APROVADO;MONTE ALEGRE DE MINAS;APAE DE MONTE ALEGRE DE MINAS;97.435.507/0001-00;;4451;APOIO E FORTALECIMENTO DA REDE DE CUIDADO À PESSOA COM DEFICIÊNCIA;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9388799,0;8786;10.242.158.4451.0001;3;2835
ANDREIA DE JESUS;PT;BLOCO DEMOCRACIA E LUTA;4291;FUNDO ESTADUAL DE SAÚDE;FES;113688;RESOLUÇÃO SES;514;APROVADO;ITABIRA;IRMANDADE NOSSA SENHORA DAS DORES;20.959.292/0001-00;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;200000,0;;200000,0;200000,0;200000,0;200000,0;0,0;0,0;0,0;0,0;;9388409,0;8771;10.302.157.4457.0001;3;2765
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113690;RESOLUÇÃO SES;993;APROVADO;MARILAC;FUNDO MUNICIPAL DE SAUDE DE MARILAC;14.792.453/0001-02;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Indicação será complementada.;FES Custeio;591734,0;;591734,0;591734,0;591734,0;591734,0;0,0;0,0;0,0;0,0;;9386963,0;8685;10.301.159.4460.0001;3;4759
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;113691;RESOLUÇÃO SES;995;APROVADO;MARILAC;FUNDO MUNICIPAL DE SAUDE DE MARILAC;14.792.453/0001-02;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Indicação complementar a indicação 113690.;FES Custeio;62089,0;;62089,0;62089,0;62089,0;62089,0;0,0;0,0;0,0;0,0;;9386964,0;8685;10.301.159.4460.0001;3;4760
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113692;TRANSFERÊNCIA ESPECIAL;569;APROVADO;MARILAC;MUNICIPIO DE MARILAC;18.409.193/0001-02;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;1791733,0;;1791733,0;1791733,0;1791733,0;1791733,0;0,0;0,0;0,0;0,0;;9384227,0;0012/2023;04.122.024.2090.0001;4;314
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;113693;TRANSFERÊNCIA ESPECIAL;614;APROVADO;MARILAC;MUNICIPIO DE MARILAC;18.409.193/0001-02;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;82089,0;;82089,0;82089,0;82089,0;82089,0;0,0;0,0;0,0;0,0;;9384685,0;0012/2023;04.122.024.2090.0001;4;1079
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113694;EXECUÇÃO DIRETA - CAIXA ESCOLAR;997;ENVIADA PARA SEE;TRES CORACOES;EE PROFESSOR  CLÓVIS SALGADO;0;174394,0;4410;MÃOS À OBRA;OUTRAS DESPESAS CORRENTES;;3;;Manutenção e Conservação Predial;Manutenção e Conservação Predial;100000,0;;100000,0;100000,0;100000,0;100000,0;0,0;0,0;0,0;0,0;;694451,0;;12.368.110.4410.0001;3;2262
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113695;EXECUÇÃO DIRETA - CAIXA ESCOLAR;560;ENVIADA PARA SEE;MEDINA;CESEC NANETE ANTUNES GUIMARÃES;0;311944,0;4410;MÃOS À OBRA;INVESTIMENTOS;;4;;Mobiliário e Equipamento;Mobiliário e Equipamento;60000,0;;60000,0;60000,0;60000,0;60000,0;0,0;0,0;0,0;0,0;;694825,0;;12.368.110.4410.0001;4;1735
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113696;EXECUÇÃO DIRETA - CAIXA ESCOLAR;996;ENVIADA PARA SEE;MEDINA;CESEC NANETE ANTUNES GUIMARÃES;0;311944,0;4410;MÃOS À OBRA;INVESTIMENTOS;;4;;Mobiliário e Equipamento;Mobiliário e Equipamento;20000,0;;20000,0;20000,0;20000,0;20000,0;0,0;0,0;0,0;0,0;;694825,0;;12.368.110.4410.0001;4;1735
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113698;EXECUÇÃO DIRETA - CAIXA ESCOLAR;560;ENVIADA PARA SEE;MEDINA;EE ANÍBAL MELO;0;185175,0;4410;MÃOS À OBRA;INVESTIMENTOS;;4;;Mobiliário e Equipamento;Mobiliário e Equipamento;80000,0;;80000,0;80000,0;80000,0;80000,0;0,0;0,0;0,0;0,0;;694831,0;;12.368.110.4410.0001;4;1733
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113699;EXECUÇÃO DIRETA - CAIXA ESCOLAR;560;ENVIADA PARA SEE;MEDINA;EE DOUTOR MAX MACHADO;0;185191,0;4410;MÃOS À OBRA;INVESTIMENTOS;;4;;Mobiliário e Equipamento;Mobiliário e Equipamento;80000,0;;80000,0;80000,0;80000,0;80000,0;0,0;0,0;0,0;0,0;;694806,0;;12.368.110.4410.0001;4;1726
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113700;EXECUÇÃO DIRETA - CAIXA ESCOLAR;560;ENVIADA PARA SEE;MEDINA;EE JOÃO FRANCISCO COSTA;0;185183,0;4410;MÃOS À OBRA;INVESTIMENTOS;;4;;Mobiliário e Equipamento;Mobiliário e Equipamento;80000,0;;80000,0;80000,0;80000,0;80000,0;0,0;0,0;0,0;0,0;;694704,0;;12.368.110.4410.0001;4;1725
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113701;EXECUÇÃO DIRETA - CAIXA ESCOLAR;560;ENVIADA PARA SEE;MEDINA;EE LUIZ TANURE;0;185159,0;4410;MÃOS À OBRA;INVESTIMENTOS;;4;;Mobiliário e Equipamento;Mobiliário e Equipamento;80000,0;;80000,0;80000,0;80000,0;80000,0;0,0;0,0;0,0;0,0;;694830,0;;12.368.110.4410.0001;4;1729
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;113702;EXECUÇÃO DIRETA - CAIXA ESCOLAR;560;ENVIADA PARA SEE;MEDINA;EE MONSENHOR MANOEL;0;185124,0;4410;MÃOS À OBRA;INVESTIMENTOS;;4;;Mobiliário e Equipamento;Mobiliário e Equipamento;80000,0;;80000,0;80000,0;80000,0;80000,0;0,0;0,0;0,0;0,0;;694805,0;;12.368.110.4410.0001;4;1724
